,artist_name,duration,key,song_hotttnesss,tempo,time_signature,year
0,b'Casual',218.93179,1,0.6021199899057548,92.198,4,0
1,b'The Box Tops',148.03546,6,,121.274,4,1969
2,b'Sonora Santanera',177.47546,8,,100.07,1,0
3,b'Adam Ant',233.40363,0,,119.293,4,1982
4,b'Gob',209.60608,2,0.6045007385888197,129.738,4,2007
5,b'Jeff And Sheri Easter',267.7024,5,,147.782,3,0
6,b'Rated R',114.78159,1,,111.787,1,0
7,b'Tweeterfriendly Music',189.57016,4,,101.43,3,0
8,b'Planet P Project',269.81832,4,0.26586104921065007,86.643,4,1984
9,b'Clp',266.39628,7,,114.041,4,0
10,b'JennyAnyKind',218.77506,5,0.0,146.765,1,0
11,b'Wayne Watson',245.21098,7,0.26586104921065007,117.975,4,0
12,b'Andy Andy',226.35057,9,0.0,130.04,4,0
13,b'Bob Azzam',191.84281,10,0.0,137.334,1,0
14,b'Lionel Richie',307.3824,3,,125.197,3,1986
15,b'Blue Rodeo',491.12771,7,0.4051157216913865,119.826,4,1987
16,b'Richard Souther',228.5971,8,0.3347065490692206,127.756,5,0
17,b'Faiz Ali Faiz',599.24853,6,,99.273,4,0
18,b'Tesla',290.29832,7,0.6841361912294903,150.062,4,2004
19,b'lextrical',165.69424,7,0.0,138.331,4,0
20,b'Jimmy Wakely',151.84934,1,,86.186,3,0
21,b'Alice Stuart',220.78649,11,0.0,110.382,1,0
22,b'Elena',269.58322,2,0.3135621142479342,111.874,4,0
23,b'The Dillinger Escape Plan',207.77751,7,0.6665278462297023,166.862,4,2004
24,b'SUE THOMPSON',124.86485,10,0.4952936212921635,137.522,4,1985
25,b'Five Bolt Main',225.09669,7,0.37598430150044215,164.672,1,0
26,b'Clp',338.31138,6,,125.006,4,0
27,b'Tim Wilson',186.48771,5,,90.022,1,2005
28,b'Willie Bobo',168.25424,8,,127.025,4,1997
29,b'Faye Adams',156.39465,8,0.0,95.957,3,1961
30,b'Terry Callier',342.56934,6,0.4137398358601097,110.189,3,1972
31,b'John Wesley',484.62322,4,0.3775316449767025,138.007,4,0
32,b'The Shangri-Las',164.80608,10,0.4432913119053975,130.1,1,1964
33,b'Billie Jo Spears',133.32853,4,0.0,160.839,1,1992
34,"b""Mike Jones (Featuring CJ_ Mello & Lil' Bran)""",173.66159,7,,41.993,1,0
35,b'Sierra Maestra',313.12934,9,,189.646,3,1997
36,b'Butthole Surfers',450.84689,4,0.593943075901947,130.586,4,0
